file,extension,bytes,category
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_03__hugging_happy__ISF9SP4G.mp4,.mp4,9123749,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_03__kitchen_pan__JZUXXFRB.mp4,.mp4,3485507,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_03__podium_speech_happy__480LQD1C.mp4,.mp4,5056283,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_03__talking_against_wall__JZUXXFRB.mp4,.mp4,3489591,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_04__hugging_happy__GBC7ZGDP.mp4,.mp4,8246897,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_04__meeting_serious__0XUW13RW.mp4,.mp4,6563740,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_04__talking_angry_couch__0XUW13RW.mp4,.mp4,11514472,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_04__walk_down_hall_angry__GBC7ZGDP.mp4,.mp4,1212172,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_09__talking_angry_couch__P70H1JB0.mp4,.mp4,11673983,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__hugging_happy__4OJNJLOO.mp4,.mp4,8847037,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__meeting_serious__9OM3VE0Y.mp4,.mp4,6582803,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__meeting_serious__FCNL2OVP.mp4,.mp4,6572942,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,.mp4,5053825,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__secret_conversation__4OJNJLOO.mp4,.mp4,4886038,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__talking_against_wall__4OJNJLOO.mp4,.mp4,3552800,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__talking_against_wall__9229VVZ3.mp4,.mp4,3508550,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__talking_against_wall__UQ0BOBNO.mp4,.mp4,3473674,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_11__walking_outside_cafe_disgusted__FAFWDR4W.mp4,.mp4,2228323,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_12__outside_talking_pan_laughing__TNI7KUZ6.mp4,.mp4,3066330,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_12__outside_talking_still_laughing__TNI7KUZ6.mp4,.mp4,3091788,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_15__exit_phone_room__02HILKYO.mp4,.mp4,1126449,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_15__kitchen_still__02HILKYO.mp4,.mp4,4283458,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_15__meeting_serious__02HILKYO.mp4,.mp4,6584368,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_15__outside_talking_pan_laughing__02HILKYO.mp4,.mp4,5049510,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_20__hugging_happy__FW94AIMJ.mp4,.mp4,8303400,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_20__kitchen_pan__6UBMLXK3.mp4,.mp4,3594191,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_20__outside_talking_pan_laughing__OTGHOG4Z.mp4,.mp4,5026186,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_20__outside_talking_still_laughing__FW94AIMJ.mp4,.mp4,5337029,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_20__walk_down_hall_angry__FW94AIMJ.mp4,.mp4,1217068,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_21__talking_angry_couch__03X7CELV.mp4,.mp4,11622716,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_21__walk_down_hall_angry__03X7CELV.mp4,.mp4,1212329,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_26__outside_talking_pan_laughing__ZMEJ535O.mp4,.mp4,4649178,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_27__hugging_happy__ZYCZ30C0.mp4,.mp4,9027446,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_27__meeting_serious__ZYCZ30C0.mp4,.mp4,6576450,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_27__outside_talking_pan_laughing__S2YCUY48.mp4,.mp4,5060635,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_27__outside_talking_still_laughing__ZYCZ30C0.mp4,.mp4,5360914,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\01_27__walking_outside_cafe_disgusted__ZYCZ30C0.mp4,.mp4,2140717,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_01__outside_talking_still_laughing__YVGY8LOK.mp4,.mp4,6440583,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_01__secret_conversation__YVGY8LOK.mp4,.mp4,5735828,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_01__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,.mp4,13390127,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_01__walking_outside_cafe_disgusted__YVGY8LOK.mp4,.mp4,2857537,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_03__walking_down_street_outside_angry__QH3Y0IG0.mp4,.mp4,3179383,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_03__walking_outside_cafe_disgusted__QH3Y0IG0.mp4,.mp4,2850827,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_04__podium_speech_happy__8CH7R4LW.mp4,.mp4,8292407,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__exit_phone_room__HZAXM70B.mp4,.mp4,1664257,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__podium_speech_happy__N8OSN8P6.mp4,.mp4,8335099,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__podium_speech_happy__SU4OQCS9.mp4,.mp4,8380018,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__talking_angry_couch__GH8TGTBS.mp4,.mp4,17215311,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__talking_angry_couch__J1W9R0NG.mp4,.mp4,17202132,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__talking_angry_couch__MKZTXQ2T.mp4,.mp4,17292475,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__walk_down_hall_angry__0M6JNS5D.mp4,.mp4,1560103,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__walking_and_outside_surprised__N8OSN8P6.mp4,.mp4,21212957,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_06__walking_down_indoor_hall_disgust__U6MDWIHG.mp4,.mp4,13362615,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__exit_phone_room__9NVRE2KQ.mp4,.mp4,1910177,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__hugging_happy__1JCLEEBQ.mp4,.mp4,7721980,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__meeting_serious__1JCLEEBQ.mp4,.mp4,6316866,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__outside_talking_pan_laughing__O4SXNLRL.mp4,.mp4,6039376,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__secret_conversation__0IYV5DQ5.mp4,.mp4,5813323,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__walk_down_hall_angry__U7DEOZNV.mp4,.mp4,1472137,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__walking_and_outside_surprised__1VMZUH1W.mp4,.mp4,26712461,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_07__walking_down_street_outside_angry__O4SXNLRL.mp4,.mp4,3245504,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__exit_phone_room__HIH8YA82.mp4,.mp4,1715372,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__kitchen_pan__9TDCEK1Q.mp4,.mp4,6543258,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__kitchen_pan__HIH8YA82.mp4,.mp4,6576790,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__outside_talking_pan_laughing__6KUOFMZW.mp4,.mp4,5957047,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__podium_speech_happy__9TDCEK1Q.mp4,.mp4,8017866,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__talking_angry_couch__6KUOFMZW.mp4,.mp4,17229130,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__walk_down_hall_angry__6KUOFMZW.mp4,.mp4,1471564,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_09__walking_down_street_outside_angry__6KUOFMZW.mp4,.mp4,3177023,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_11__meeting_serious__NZJ1YEWE.mp4,.mp4,6337219,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_12__podium_speech_happy__9D2ZHEKW.mp4,.mp4,8007399,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_12__walking_and_outside_surprised__9D2ZHEKW.mp4,.mp4,25325557,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__exit_phone_room__CP5HFV3K.mp4,.mp4,1738388,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__hugging_happy__PLNVLO74.mp4,.mp4,7802410,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__kitchen_pan__2YSYT2N3.mp4,.mp4,6548550,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__meeting_serious__CP5HFV3K.mp4,.mp4,6382424,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__outside_talking_pan_laughing__2YSYT2N3.mp4,.mp4,6069839,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__outside_talking_still_laughing__CP5HFV3K.mp4,.mp4,6533850,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__podium_speech_happy__2YSYT2N3.mp4,.mp4,7799429,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__secret_conversation__CP5HFV3K.mp4,.mp4,477826,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__secret_conversation__PLNVLO74.mp4,.mp4,5760859,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_13__walking_and_outside_surprised__CP5HFV3K.mp4,.mp4,21125435,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_14__outside_talking_pan_laughing__3IUBEKCT.mp4,.mp4,6096412,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__exit_phone_room__I8G2LWD1.mp4,.mp4,1678635,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__exit_phone_room__MZWH8ATN.mp4,.mp4,1649189,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__hugging_happy__MZWH8ATN.mp4,.mp4,7711977,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__hugging_happy__XNJIS4S3.mp4,.mp4,7742810,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__kitchen_still__XNJIS4S3.mp4,.mp4,7981599,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__meeting_serious__MZWH8ATN.mp4,.mp4,6336228,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__outside_talking_pan_laughing__I8G2LWD1.mp4,.mp4,6055513,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__outside_talking_pan_laughing__SB6PMCO0.mp4,.mp4,6032996,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__podium_speech_happy__MZWH8ATN.mp4,.mp4,8358551,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__secret_conversation__MZWH8ATN.mp4,.mp4,511667,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__talking_against_wall__HTG660F8.mp4,.mp4,5349471,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__talking_angry_couch__HTG660F8.mp4,.mp4,17288858,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__talking_angry_couch__I8G2LWD1.mp4,.mp4,17318040,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__walk_down_hall_angry__TN2CWM3K.mp4,.mp4,1477738,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__walking_and_outside_surprised__HTG660F8.mp4,.mp4,26943143,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__walking_and_outside_surprised__I8G2LWD1.mp4,.mp4,26689020,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__walking_and_outside_surprised__MZWH8ATN.mp4,.mp4,20762946,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_15__walking_outside_cafe_disgusted__MZWH8ATN.mp4,.mp4,3012844,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__exit_phone_room__OXMEEFUQ.mp4,.mp4,1647883,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__outside_talking_pan_laughing__OXMEEFUQ.mp4,.mp4,6108579,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__secret_conversation__B95S4G6F.mp4,.mp4,5674585,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__walk_down_hall_angry__B95S4G6F.mp4,.mp4,1565664,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_18__walking_down_street_outside_angry__21JTDDEL.mp4,.mp4,3187124,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_21__kitchen_pan__Z0XHPQAR.mp4,.mp4,6477946,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_21__talking_angry_couch__Z0XHPQAR.mp4,.mp4,17230472,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_25__talking_against_wall__Z7FQ69VP.mp4,.mp4,5401786,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_27__hugging_happy__GVFLSZD5.mp4,.mp4,7791282,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_27__walk_down_hall_angry__78M8S6M6.mp4,.mp4,1473382,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_27__walking_down_indoor_hall_disgust__YQX5Z8GN.mp4,.mp4,13381984,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\02_27__walking_down_street_outside_angry__3L1MLH3D.mp4,.mp4,3660926,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_01__meeting_serious__JZUXXFRB.mp4,.mp4,6051532,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_01__outside_talking_still_laughing__JZUXXFRB.mp4,.mp4,6672595,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_01__podium_speech_happy__JZUXXFRB.mp4,.mp4,7504294,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_01__walking_and_outside_surprised__JZUXXFRB.mp4,.mp4,25829532,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_02__secret_conversation__GYX5OFTD.mp4,.mp4,320030,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_04__outside_talking_pan_laughing__T04P6ELC.mp4,.mp4,6761650,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_04__talking_angry_couch__T04P6ELC.mp4,.mp4,19696911,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_06__exit_phone_room__1IXGY2FK.mp4,.mp4,3875707,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_06__hugging_happy__2XWC5JED.mp4,.mp4,16195666,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_06__meeting_serious__83ABVHC3.mp4,.mp4,5836906,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_06__podium_speech_happy__83ABVHC3.mp4,.mp4,7499037,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__exit_phone_room__6PHZRQ4H.mp4,.mp4,3911253,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__hugging_happy__BKLOCI1M.mp4,.mp4,16224853,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__kitchen_pan__WPT3Z2KN.mp4,.mp4,5647022,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__talking_against_wall__PWXXULHR.mp4,.mp4,5165033,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__walk_down_hall_angry__6PHZRQ4H.mp4,.mp4,2634774,already_compressed_or_media
data\train\archive (1)\FaceForensics++_C23\DeepFakeDetection\03_07__walk_down_hall_angry__IFSURI9X.mp4,.mp4,2631790,already_compressed_or_media
