sample_id,source_group,source_category,split,profile,best_strategy,best_codec,best_level,best_transform,expected_bpb,expected_compression_time,expected_decompression_time,profile_score
pdf_8k,pdf-fragment,pdf,train,fastest,zstd|3|identity,zstd,3,identity,0.0859375,2.720000338740647e-05,6.700007361359894e-06,0.00010123316232811217
pdf_8k,pdf-fragment,pdf,train,balanced,brotli|6|identity,brotli,6,identity,0.0732421875,0.0002522999857319519,2.7600006433203816e-05,0.00010428987609269202
random_16k,random-16k,random,train,smallest,raw|default|identity,raw,,identity,8.0,4.3000036384910345e-06,2.9999937396496534e-06,0.0
random_16k,random-16k,random,train,fastest,raw|default|identity,raw,,identity,8.0,4.3000036384910345e-06,2.9999937396496534e-06,0.0
random_16k,random-16k,random,train,balanced,raw|default|identity,raw,,identity,8.0,4.3000036384910345e-06,2.9999937396496534e-06,0.0
random_4k,random-4k,random,test,smallest,raw|default|identity,raw,,identity,8.0,5.4000120144337416e-06,3.40001133736223e-06,0.0
random_4k,random-4k,random,test,fastest,raw|default|identity,raw,,identity,8.0,5.4000120144337416e-06,3.40001133736223e-06,0.0
random_4k,random-4k,random,test,balanced,raw|default|identity,raw,,identity,8.0,5.4000120144337416e-06,3.40001133736223e-06,0.0
repetitive_4k,repeat-4k,repetitive,train,smallest,brotli|6|identity,brotli,6,identity,0.033203125,0.00011720000475179404,2.2799998987466097e-05,5.522872797450481e-06
repetitive_4k,repeat-4k,repetitive,train,fastest,zstd|9|identity,zstd,9,identity,0.041015625,2.570000651758164e-05,8.29999044071883e-06,9.06787463352089e-05
repetitive_4k,repeat-4k,repetitive,train,balanced,brotli|6|identity,brotli,6,identity,0.033203125,0.00011720000475179404,2.2799998987466097e-05,0.00010481944989154584
repetitive_64k,repeat-64k,repetitive,test,smallest,brotli|9|identity,brotli,9,identity,0.0035400390625,0.00018740000086836517,0.00012140000762883574,7.641304008230203e-07
repetitive_64k,repeat-64k,repetitive,test,fastest,zstd|1|identity,zstd,1,identity,0.0037841796875,4.460000491235405e-05,6.599999323952943e-05,8.593458975112411e-06
repetitive_64k,repeat-64k,repetitive,test,balanced,brotli|9|identity,brotli,9,identity,0.0035400390625,0.00018740000086836517,0.00012140000762883574,1.329144335613311e-05
text_lorem_64k,lorem,text,train,smallest,brotli|9|identity,brotli,9,identity,0.006103515625,0.00025439998717047274,7.610001193825155e-05,8.585563507431988e-07
text_lorem_64k,lorem,text,train,fastest,zstd|1|identity,zstd,1,identity,0.009521484375,3.960001049563289e-05,1.8099992303177714e-05,2.6106048619912276e-05
text_lorem_64k,lorem,text,train,balanced,brotli|9|identity,brotli,9,identity,0.006103515625,0.00025439998717047274,7.610001193825155e-05,1.5905703628124625e-05
text_readme_16k,readme-expanded,text,test,smallest,brotli|6|identity,brotli,6,identity,0.818359375,0.0012500000011641532,5.839999357704073e-05,1.2540551513633374e-05
text_readme_16k,readme-expanded,text,test,fastest,zstd|9|identity,zstd,9,identity,0.8828125,0.0001618000096641481,1.8100006855092943e-05,0.000517039544505954
text_readme_16k,readme-expanded,text,test,balanced,brotli|6|identity,brotli,6,identity,0.818359375,0.0012500000011641532,5.839999357704073e-05,0.0002469745017583774
text_readme_4k,readme,text,validation,smallest,brotli|6|identity,brotli,6,identity,3.2963237108314827,0.0014385999966179952,4.270000499673188e-05,0.0016496942033116194
text_readme_4k,readme,text,validation,fastest,zstd|9|identity,zstd,9,identity,3.5548976067110782,0.0001472000003559515,1.5700003132224083e-05,0.003647249209080937
text_readme_4k,readme,text,validation,balanced,brotli|6|identity,brotli,6,identity,3.2963237108314827,0.0014385999966179952,4.270000499673188e-05,0.009258603916210324
video_mp4_fragment,ff-c23-video,video,train,smallest,raw|default|identity,raw,,identity,8.0,4.1000021155923605e-06,2.7999922167509794e-06,0.001542168674698795
video_mp4_fragment,ff-c23-video,video,train,fastest,raw|default|identity,raw,,identity,8.0,4.1000021155923605e-06,2.7999922167509794e-06,8.032128514056226e-05
video_mp4_fragment,ff-c23-video,video,train,balanced,raw|default|identity,raw,,identity,8.0,4.1000021155923605e-06,2.7999922167509794e-06,0.0007228915662650603
xml_16k,xml-records,xml,train,smallest,brotli|6|identity,brotli,6,identity,0.03125,0.0002590999938547611,4.369999805931002e-05,3.0758940987056344e-06
xml_16k,xml-records,xml,train,fastest,zstd|3|identity,zstd,3,identity,0.03515625,2.890000178012997e-05,8.499991963617504e-06,3.6290592162850154e-05
xml_16k,xml-records,xml,train,balanced,brotli|6|identity,brotli,6,identity,0.03125,0.0002590999938547611,4.369999805931002e-05,5.880682297392533e-05
zeros_16k,zeros,repetitive,validation,smallest,brotli|9|identity,brotli,9,identity,0.00634765625,7.6299998909235e-05,3.779999678954482e-05,1.1163801969634428e-06
zeros_16k,zeros,repetitive,validation,fastest,zstd|3|identity,zstd,3,identity,0.00927734375,2.5999994250014424e-05,9.60000033956021e-06,2.9327874017328454e-05
zeros_16k,zeros,repetitive,validation,balanced,brotli|9|identity,brotli,9,identity,0.00634765625,7.6299998909235e-05,3.779999678954482e-05,1.9942934569725136e-05
